,상품명
1950,스웨거 룰브레이커
1951,스웨거 샷콜러
1952,니베아 맨 킥
1953,보드맨 바디스프레이
1954,포맨트 허그
1955,니베아 스프레이
1956,포블랑시 남성청결제
1957,칼밋 바디워시
1958,디티알티 샷
1959,샤넬 젤
1960,스틸라 팔레트
1961,페리페라 팔레트
1962,아임미미 큐브
1963,16BRAND 매거진
1964,라카 팔레트
1965,미샤 팔레트
1966,NYX 내추럴룩키트
1967,VT COSMETICS 팔레트
1968,이니스프리 팔레트
1969,에뛰드 팔레트
1970,어반디케이 팔레트
1971,바비브라운 아이
1972,나스 블론드
1973,에스쁘아 허니멜로우
1974,맥 팔레트
1975,베네피트 스토어웨이즈
1976,바비브라운 팔레트
1977,에스쁘아 룩북
1978,미샤 비즈
1979,컨시크 팔레트
